gene.length,n
1856.6,5
2177.8,5
2969.4,5
2453.4,5
2236.4,5
2056,5
3703,5
1311.4,5
2459,5
1877.2,5
2840.6,5
3144.2,5
3502,5
4226,5
2953,5
4321,5
2283.4,5
2746,5
2432.2,5
2922.2,5
2020.8,5
2309.2,5
2181.8,5
2656.8,5
2213,5
3351.2,5
2006.4,5
1752.4,5
2786.4,5
2464.4,5
2710.6,5
1881.4,5
1578,5
3844.2,5
2156.8,5
2415,5
1977.2,5
2634.2,5
2526.6,5
1951,5
2532,5
2635.4,5
3436.8,5
3595,5
3535.6,5
2269.6,5
2948,5
3358,5
3569.8,5
2568.8,5
2364.2,5
1915.4,5
1960.6,5
2065,5
1888.8,5
3475.2,5
2149.2,5
2610,5
3405,5
1664.6,5
2479.8,5
2693.8,5
1505.4,5
3291,5
3028.8,5
3472.6,5
2906.6,5
2724.6,5
2190.8,5
2149.6,5
3192.2,5
3150.2,5
1944,5
3436.4,5
3779.6,5
1094.8,5
2922.4,5
2095.8,5
1558,5
4289.4,5
2100,5
2787.6,5
2281.6,5
2483.8,5
3766,5
3689.2,5
3123.6,5
1880,5
3287.8,5
4025.8,5
1999.6,5
2812.6,5
1589.6,5
2767.8,5
2544.2,5
2655.4,5
1917,5
2282.8,5
2945.4,5
3320.4,5
1944.8,5
4168.6,5
1874.6,5
2138.8,5
3241.6,5
2273.2,5
2508,5
2888.8,5
1327,5
2181.2,5
3371.4,5
3345.2,5
1648.4,5
1681.6,5
3375.8,5
2375.8,5
3756,5
2645.8,5
2687.4,5
2066,5
1670,5
1611.8,5
4307.4,5
3910.2,5
3207.8,5
2311.6,5
3107,5
3053.8,5
4703,5
2132.4,5
2742.6,5
3195.6,5
1996,5
1094.8,5
2610,5
2123,5
1740.8,5
2807.8,5
3336,5
4396.8,5
3156.4,5
2539.8,5
2236.2,5
2416.8,5
2216.4,5
2849,5
2924.8,5
1183.4,5
3733.8,5
2475.8,5
2529.2,5
2261,5
2189.4,5
2734.2,5
2475.4,5
1837.6,5
2208.4,5
2429.2,5
2540.8,5
1337.2,5
1889.8,5
1913.4,5
2974.8,5
3244.2,5
3604,5
2288.4,5
2897,5
3823.2,5
3419,5
1704.2,5
3741,5
2338.2,5
2757.8,5
3119.6,5
2698.8,5
3052.2,5
1571,5
1679.8,5
2546.2,5
1076,5
2091.8,5
2408.4,5
4324.6,5
2145,5
2142.8,5
3706.2,5
3263,5
2298,5
2826,5
2448.6,5
2576.8,5
2605.8,5
2696.4,5
1974.2,5
1889.8,5
2526.2,5
3079,5
2780,5
1681,5
3258.2,5
1485.6,5
2746.6,5
1431.4,5
2035.2,5
1850.4,5
1936.2,5
3031.4,5
2217.8,5
1092.2,5
2076.6,5
1901.4,5
1666.8,5
2311.6,5
2730.6,5
1507.6,5
2176,5
2407.2,5
2712.8,5
2365.2,5
2110.2,5
1994.6,5
1999.8,5
2225.2,5
2353.4,5
3528.8,5
1476.6,5
2532.2,5
3358,5
3256.6,5
1126.2,5
1317.4,5
2206.6,5
2714.2,5
2768.8,5
1978.4,5
2886.3,30
2433.233333333333,30
2808.633333333333,30
3133.5666666666666,30
2928.4,30
2093.233333333333,30
1974.4333333333334,30
3307.6,30
2711,30
2937.6666666666665,30
2986.3333333333335,30
2266.3,30
2752.5666666666666,30
2299.1,30
2399.766666666667,30
2681.133333333333,30
3066.266666666667,30
3480.866666666667,30
2452.266666666667,30
2527.4,30
2071.9333333333334,30
2621.233333333333,30
2257.366666666667,30
2662.766666666667,30
3019.9,30
2646.633333333333,30
3237.266666666667,30
2093.6666666666665,30
2268.5666666666666,30
2581.0666666666666,30
2221.4666666666667,30
2989,30
2044.3333333333333,30
2333.6,30
2816.1,30
2560.3,30
2842.266666666667,30
3092.733333333333,30
2895.266666666667,30
3294,30
2657.8333333333335,30
2691.866666666667,30
2581.9,30
2634.133333333333,30
2814.5,30
2109.1666666666665,30
2057.8333333333335,30
2217.6,30
2465.6,30
2676.266666666667,30
2901.4333333333334,30
2822.6666666666665,30
2633.766666666667,30
3262.7,30
2181.8,30
2145.1,30
2948.8,30
2417.733333333333,30
3378.4,30
2753.6,30
2466.133333333333,30
2393.3,30
2424.633333333333,30
2903.766666666667,30
2563.266666666667,30
1996.6666666666667,30
2497.9666666666667,30
3095.4,30
2570.9666666666667,30
2486.266666666667,30
2590.633333333333,30
2141.233333333333,30
2645.266666666667,30
2354.5333333333333,30
3245.8333333333335,30
2844.866666666667,30
2240.733333333333,30
2844.6666666666665,30
2585.4666666666667,30
3725.3333333333335,30
2881.7,30
2852.9,30
2417.9333333333334,30
2171.0333333333333,30
2521.633333333333,30
2557.133333333333,30
2900.1666666666665,30
2636.0333333333333,30
2543.366666666667,30
3188.6,30
2523.7,30
2682.366666666667,30
2415,30
2198.866666666667,30
2333.1,30
2919.9333333333334,30
2075.133333333333,30
2799.233333333333,30
2311.6,30
2710.366666666667,30
2628.9,30
2740.633333333333,30
2362.6666666666665,30
2441.3333333333335,30
2303.733333333333,30
2431.6,30
2592.0333333333333,30
1902.3333333333333,30
2633.366666666667,30
2537.9666666666667,30
2962.9333333333334,30
2518.6666666666665,30
2738.366666666667,30
2594.9,30
2295.4666666666667,30
2842,30
2791.9333333333334,30
2344.2,30
2496.5333333333333,30
2342.133333333333,30
2712.4666666666667,30
2495.9,30
2334.7,30
2517.5666666666666,30
2611,30
2173.0333333333333,30
2428.233333333333,30
2450.266666666667,30
2816.633333333333,30
2228.2,30
2576.3,30
2276.9333333333334,30
2623.9666666666667,30
2867.4,30
2348.1666666666665,30
3116.4666666666667,30
2554.4666666666667,30
2405.3,30
2481.233333333333,30
2530.4,30
2413.1,30
3217.5333333333333,30
2074.366666666667,30
2687.0666666666666,30
2661.3,30
2725.266666666667,30
2067.3333333333335,30
2522.733333333333,30
2035.1333333333334,30
2820.6,30
2655.4666666666667,30
2512.5,30
2811.366666666667,30
2704.366666666667,30
2704.266666666667,30
2887.4333333333334,30
2359.2,30
2212.1666666666665,30
2463.3,30
2158.4333333333334,30
2516.9333333333334,30
2981.133333333333,30
2235.7,30
3006.366666666667,30
3018.6666666666665,30
2370.266666666667,30
2568.366666666667,30
2367.866666666667,30
2514.2,30
2885.5333333333333,30
2431.8,30
2731.733333333333,30
2980.8,30
2098.4,30
2862.8,30
2633.233333333333,30
3199.766666666667,30
2819.266666666667,30
2409.6,30
2688.6,30
2542.4333333333334,30
3162.2,30
2627.766666666667,30
2548.2,30
2688.4666666666667,30
2589.6,30
2342.2,30
2349.4,30
2706.1,30
2896.9333333333334,30
2446.8,30
2640.766666666667,30
2578.5,30
2430.8333333333335,30
2025.1333333333334,30
2973.4,30
2492.366666666667,30
2542.4333333333334,30
2365.0333333333333,30
2664.8,30
2634.366666666667,30
2315.5333333333333,30
2678.7,30
2307.233333333333,30
2718.2,30
2511.4,30
3048.4,30
2253.633333333333,30
2176.7,30
3131.766666666667,30
2191.6,30
2341.5,30
2766.9333333333334,30
2471.733333333333,30
2547.366666666667,30
2361.9,30
3050.0666666666666,30
2636.233333333333,30
3541.233333333333,30
3246.766666666667,30
3584.233333333333,30
2662.0666666666666,30
2784.5,30
2642.633333333333,30
2448.1666666666665,30
2223.1,30
2670.3,30
2715.733333333333,30
2580.733333333333,30
2254.1666666666665,30
3096.5666666666666,30
2747.5,30
2718.266666666667,30
2858.4666666666667,30
2067.0666666666666,30
2577.9333333333334,30
3039.4,30
2060.266666666667,30
2420.3333333333335,30
2446.4666666666667,30
2662.4666666666667,30
2310.0666666666666,30
2292.4666666666667,30
2425.4,30
2655.7,30
2130.3333333333335,30
2456,30
2740.4333333333334,30
2207.133333333333,30
3324.1666666666665,30
2153.6,30
2883.9666666666667,30
2441.9333333333334,30
1862.9,30
2840.733333333333,30
2974.233333333333,30
2774.4666666666667,30
2388.633333333333,30
2840.766666666667,30
2312.2,30
2252.4666666666667,30
1912.8666666666666,30
2604.133333333333,30
2844.2,30
2440.8,30
2443.133333333333,30
3066.5333333333333,30
2280.5666666666666,30
2784.766666666667,30
2628.4333333333334,30
2873,30
2643.1666666666665,30
2759.6,30
2047.4,30
2766.9,30
2346.5666666666666,30
2599.1,30
2617.3,30
2318.4333333333334,30
2605.9333333333334,30
2652.3,30
2400.733333333333,30
2897.4333333333334,30
2592.233333333333,30
2767.233333333333,30
2070.5666666666666,30
2571.766666666667,30
2521.5666666666666,30
2205.6666666666665,30
3028.3,30
2907.5333333333333,30
3053.3333333333335,30
2246.233333333333,30
3298.6666666666665,30
2520.9666666666667,30
2433.9,30
2731.1666666666665,30
2187.6666666666665,30
2635,30
3151.633333333333,30
2953.0333333333333,30
2028.7333333333333,30
2488.8333333333335,30
3065.4666666666667,30
2449.1,30
2835.133333333333,30
2525.9666666666667,30
2399.1666666666665,30
2771.9333333333334,30
3087.8333333333335,30
2741.5,30
1726.7333333333333,30
1984.3666666666666,30
2375.8,30
1952.7333333333333,30
2615.733333333333,30
3027.0333333333333,30
2242.866666666667,30
3061.3,30
2419.9666666666667,30
2444.366666666667,30
2401.6666666666665,30
2735.266666666667,30
2689.7,30
2444.9333333333334,30
2920.5666666666666,30
2693.8,30
2669.8,30
2110.866666666667,30
2419.4666666666667,30
2289.766666666667,30
2775.0666666666666,30
2744.766666666667,30
2738.6,30
3265.633333333333,30
2745.6,30
2206.3333333333335,30
2252.366666666667,30
3060.9333333333334,30
2789.4666666666667,30
2301.1,30
2411.0666666666666,30
2165.766666666667,30
2507.266666666667,30
2784.6,30
3012.6,30
2559.8333333333335,30
3011.8333333333335,30
2641.8,30
2590.2,30
2681.9666666666667,30
2555.233333333333,30
2143.8333333333335,30
2552.9666666666667,30
3056.233333333333,30
2895.5,30
2611.633333333333,30
2712.7,30
2757.6666666666665,30
2697.0333333333333,30
2694.866666666667,30
2422.1666666666665,30
2538.8,30
2231.233333333333,30
2582.4666666666667,30
2988.0333333333333,30
2823.6,30
3203.5666666666666,30
2615.366666666667,30
2575.4333333333334,30
2152.5666666666666,30
1809.5666666666666,30
2377.9,30
2874.4,30
2661.133333333333,30
2906.4333333333334,30
3142.4666666666667,30
2344.5,30
2241.733333333333,30
2353.233333333333,30
2015.8666666666666,30
2321.633333333333,30
3052,30
2614.6,30
2417,30
2487.3333333333335,30
2232.133333333333,30
2377.233333333333,30
2317.133333333333,30
2553.3,30
2322,30
2665.6,30
2661.633333333333,30
2400.233333333333,30
2905.9666666666667,30
2512.8,30
2390.4333333333334,30
2273.3,30
2557.9333333333334,30
2133.6666666666665,30
2687.0333333333333,30
3319.4,30
2591.1,30
2833.6666666666665,30
2043.9333333333334,30
2942.266666666667,30
2741.4333333333334,30
2384.7,30
2140.633333333333,30
2399.5666666666666,30
2454.9333333333334,30
3105.5333333333333,30
2811.7,30
2736.7,30
2385.9333333333334,30
2372.2,30
