tag,id,latitude,longitude,elevation,subspecies,site,nodeFirstFlower,avgProtandry,avgHerkogamy,avgPetalArea,dateFlowered,admixProportion
SAW-101-P,101,35.678984,-118.473466,903.420471,P,SAW,22,0.5,0,15.842,18266,0.01777346
SAW-102-X,102,35.678967,-118.473477,903.70636,X,SAW,23,4.5,7,130.1595,18268,0.041587087
SAW-103-P,103,35.679057,-118.473419,900.090637,P,SAW,24,0,0,16.149,18258,0.016775873
SAW-104-P,104,35.679055,-118.473363,897.689331,P,SAW,23.5,1,1.25,16.925,18263,0.015999178
SAW-1061-X,1061,35.679592,-118.474957,944.183289,X,SAW,21,2,6.5,113.6815,18274,0.047631283
SAW-1062-X,1062,35.679655,-118.475027,946.29303,X,SAW,19,5,4.5,170.021,18274,0.042986488
SAW-1063-X,1063,35.679625,-118.475112,949.328552,X,SAW,21,1,2.5,100.522,18268,0.048550945
SAW-1064-X,1064,35.679695,-118.475199,957.809692,X,SAW,35,3.5,5.25,64.84333333,18281,0.049150333
SAW-1065-X,1065,35.679787,-118.475222,960.122131,X,SAW,19,2.5,5.25,112.4215,18266,0.053434276
SAW-1069-X,1069,35.679674,-118.474921,945.498901,X,SAW,24,4,4,95.043,18282,0.054227318
SAW-107-P,107,35.679014,-118.473596,903.411804,P,SAW,27,0,0,21.448,18259,0.018474053
SAW-108-X,108,35.678993,-118.473563,903.160889,X,SAW,26,2.5,4.75,121.059,18280,0.06726663
SAW-109-P,109,35.679018,-118.473643,904.383057,P,SAW,23.5,0,2,36.95,18261,0.018017467
SAW-11-P,11,35.681159,-118.473563,891.34082,P,SAW,23,0,0,13.5,18258,0.016260408
SAW-111-X,111,35.678962,-118.473589,906.115784,X,SAW,27,2,4.5,165.5565,18276,0.055293294
SAW-112-X,112,35.67889,-118.473563,907.240356,X,SAW,20,3,4,138.53,18275,0.099303333
SAW-113-P,113,35.679024,-118.473642,903.277649,P,SAW,20,0,0.5,17.0005,18262,0.016889774
SAW-114-X,114,35.678969,-118.473658,906.508667,X,SAW,22,2,7.5,126.8275,18267,0.054112052
SAW-115-P,115,35.679016,-118.473663,904.515625,P,SAW,22,0.5,1.5,23.7485,18275,0.016430736
SAW-116-X,116,35.679079,-118.47375,902.545105,X,SAW,24,1.5,6,139.864,18272,0.071989155
SAW-117-X,117,35.67911,-118.473866,901.66156,X,SAW,19,1.5,3.5,143.262,18264,0.062715544
SAW-118-X,118,35.679104,-118.473966,902.945251,X,SAW,22,5,1,139.6985,18277,0.03984971
SAW-119-P,119,35.679229,-118.473667,892.86853,P,SAW,25,0,0,19.6635,18277,0.015945156
SAW-12-P,12,35.681116,-118.473575,891.473022,P,SAW,25,1,0,14.3735,18261,0.01694466
SAW-120-P,120,35.679222,-118.473702,893.021301,P,SAW,49,0,1,9.801,18275,0.014742607
SAW-121-P,121,35.679207,-118.473703,894.017456,P,SAW,26,0,1.25,18.3835,18276,0.014655777
SAW-122-P,122,35.67919,-118.473698,894.600037,P,SAW,22,0.5,0,19.44,18261,0.01568589
SAW-123-P,123,35.679121,-118.473657,896.574402,P,SAW,16,0.5,1.5,22.714,18262,0.016232555
SAW-125-X,125,35.679073,-118.473754,901.350586,X,SAW,21.5,3,3.5,109.403,18287,0.058335947
SAW-126-X,126,35.679086,-118.473934,902.400818,X,SAW,22.5,2,4.5,99.8415,18270,0.049304051
SAW-127-X,127,35.679105,-118.473979,902.67749,X,SAW,23,3.5,2,110.292,18276,0.075986906
SAW-128-X,128,35.679204,-118.474076,902.829651,X,SAW,24,2.5,4.5,79.9035,18279,0.054553634
SAW-129-X,129,35.67929,-118.474263,903.692688,X,SAW,24,1,5,159.8395,18277,0.057251803
SAW-13-P,13,35.681133,-118.473568,892.586121,P,SAW,21,1,0,26.8,18261,0.016338866
SAW-130-X,130,35.67937,-118.474202,903.017334,X,SAW,18,4,5.5,199.5035,18274,0.057305973
SAW-131-X,131,35.679531,-118.473959,901.44812,X,SAW,16,1.5,0.75,118.607,18293,0.060392493
SAW-132-X,132,35.679583,-118.474067,900.952454,X,SAW,27,2.5,3,124.0775,18270,0.035077753
SAW-133-X,133,35.679714,-118.474119,901.943665,X,SAW,21,2,3.5,143.586,18264,0.053373639
SAW-134-X,134,35.67979,-118.473949,899.090759,X,SAW,18,1.5,4,162.9045,18269,0.067502962
SAW-135-X,135,35.679913,-118.473891,899.06781,X,SAW,26,1,3,152.7245,18271,0.05586817
SAW-136-X,136,35.679938,-118.473888,900.422058,X,SAW,23,3,7,164.773,18275,0.055699059
SAW-137-X,137,35.67992,-118.473934,900.738831,X,SAW,24,2.5,4,118.501,18265,0.055823793
SAW-138-X,138,35.679971,-118.473935,903.517029,X,SAW,20,3.5,4,151.3,18265,0.045969832
SAW-139-X,139,35.679937,-118.474009,904.363037,X,SAW,25,1.5,4,155.8735,18265,0.057537745
SAW-14-P,14,35.681153,-118.4736,893.590698,P,SAW,23,0.5,0,18.6,18264,0.015484969
SAW-140-X,140,35.679904,-118.474074,907.674011,X,SAW,18.5,2.5,5,128.5775,18271,0.043740589
SAW-145-X,145,35.67983,-118.474296,913.267334,X,SAW,25,4,6,111.926,18280,0.062061662
SAW-146-X,146,35.679748,-118.474301,913.004333,X,SAW,24,3,3,71.524,18279,0.049489529
SAW-147-X,147,35.679844,-118.474388,916.772156,X,SAW,21,1,6,214.7465,18272,0.058487606
SAW-148-X,148,35.679756,-118.474456,917.243042,X,SAW,26,3,3,162.7775,18274,0.043940762
SAW-149-X,149,35.679754,-118.474526,919.109131,X,SAW,13,1,3,151.689,18284,0.04384229
SAW-15-P,15,35.681082,-118.473584,893.880676,P,SAW,23,0,0,22.4,18264,0.015803192
SAW-150-X,150,35.679681,-118.474492,918.112244,X,SAW,17,4,4.5,155.478,18265,0.045555882
SAW-152-X,152,35.679543,-118.474374,916.350403,X,SAW,22,2,5.5,120.5595,18272,0.053555932
SAW-153-X,153,35.679491,-118.474501,919.446655,X,SAW,21,1.5,4,135.5725,18279,0.058760425
SAW-155-X,155,35.679237,-118.474556,916.071045,X,SAW,20.5,6,6.5,151.042,18274,0.043052962
SAW-157-X,157,35.679167,-118.474556,917.439209,X,SAW,21,4,6,139.147,18264,0.058431203
SAW-158-X,158,35.678851,-118.473799,913.517761,X,SAW,21,2.5,0.5,126.616,18278,0.059202545
SAW-159-X,159,35.678861,-118.473842,913.61084,X,SAW,18,2,4,138.807,18267,0.051545202
SAW-16-P,16,35.681082,-118.473557,894.345032,P,SAW,20,0,0.25,18.6,18267,0.01565793
SAW-160-X,160,35.678892,-118.473789,911.137817,X,SAW,29,2,5,102.6305,18277,0.040773682
SAW-161-X,161,35.678906,-118.473822,911.212708,X,SAW,29.5,4,5,93.0315,18274,0.061198356
SAW-162-X,162,35.678937,-118.47397,911.603577,X,SAW,17,3.5,4,183.5195,18266,0.03810137
SAW-163-X,163,35.678887,-118.474097,913.943604,X,SAW,19,2.5,4.5,194.3595,18264,0.049412625
SAW-164-X,164,35.6791,-118.474294,910.825073,X,SAW,13,2,2.5,171.317,18260,0.043403039
SAW-165-X,165,35.679116,-118.474352,911.745483,X,SAW,17,3,5,145.81,18267,0.053842418
SAW-17-P,17,35.681094,-118.473536,894.510254,P,SAW,28,0,0,19.85,18254,0.015409826
SAW-18-P,18,35.681068,-118.473614,896.894348,P,SAW,24,0.5,0,12.5,18260,0.014910628
SAW-19-P,19,35.681069,-118.47365,896.944031,P,SAW,21,0.5,2.5,12.85,18262,0.014968617
SAW-20-P,20,35.681059,-118.473662,898.315918,P,SAW,34,0,0,15.75,18272,0.016795819
SAW-21-P,21,35.681084,-118.473638,898.737122,P,SAW,23,0,0,18.2,18258,0.016382822
SAW-226-X,226,35.67923,-118.474627,946.015259,X,SAW,21.5,2.5,5,139.773,18279,0.051867075
SAW-228-X,228,35.679449,-118.474655,952.552795,X,SAW,21,4,5.5,198.7215,18274,0.057455299
SAW-229-X,229,35.679549,-118.474681,951.992188,X,SAW,21,2,2.5,187.262,18265,0.045324606
SAW-23-P,23,35.680964,-118.473566,900.790161,P,SAW,24,0,0.25,27.65,18262,0.01587544
SAW-231-X,231,35.679746,-118.474732,950.376465,X,SAW,23,2.5,1,160.281,18266,0.048425014
SAW-232-X,232,35.679875,-118.474792,955.812073,X,SAW,21,3,2,175.172,18278,0.053994592
SAW-233-X,233,35.679913,-118.474762,954.968994,X,SAW,26,2,4.5,150.158,18265,0.055873313
SAW-234-X,234,35.679962,-118.474787,956.112488,X,SAW,22,2,0.5,109.7515,18277,0.059121091
SAW-24-P,24,35.681007,-118.473603,901.385376,P,SAW,22.5,1,1,15.861,18261,0.014691915
SAW-25-P,25,35.680958,-118.473494,899.727234,P,SAW,18,0.5,0,24.05,18269,0.016093869
SAW-26-P,26,35.680941,-118.473507,899.767578,P,SAW,28,0,0,21.25,18261,0.015273511
SAW-27-P,27,35.680957,-118.47347,900.192017,P,SAW,21,1,0,18.3625,18264,0.014346912
SAW-28-P,28,35.680967,-118.473418,899.57373,P,SAW,20,0.5,2,17.943,18269,0.016305551
SAW-29-P,29,35.680916,-118.473304,896.162415,P,SAW,21,0,0.75,10.0275,18277,0.016173491
SAW-30-P,30,35.68094,-118.473317,896.491089,P,SAW,25,0,2,28.882,18257,0.016341844
SAW-31-P,31,35.68096,-118.473313,895.432312,P,SAW,21,0.5,0,17.2175,18257,0.015787476
SAW-34-P,34,35.680987,-118.473315,895.004822,P,SAW,25,0.5,0,16.0025,18262,0.015727994
SAW-35-P,35,35.680971,-118.473379,895.913086,P,SAW,29,1,0,15.198,18266,0.016674974
SAW-36-P,36,35.680956,-118.473367,896.292786,P,SAW,21,0.5,0,18.557,18261,0.016253217
SAW-37-P,37,35.681006,-118.473366,895.767761,P,SAW,21,0.5,1,21.5615,18260,0.017227509
SAW-38-P,38,35.680742,-118.473529,903.536194,P,SAW,21,0,0.5,15.75,18275,0.01629736
SAW-39-P,39,35.680793,-118.473561,905.657715,P,SAW,25,0.5,0,18.4,18261,0.015574025
SAW-4-P,4,35.681061,-118.473352,889.546387,P,SAW,22,1,0.5,21.4785,18262,0.016180661
SAW-40-P,40,35.680763,-118.47358,905.228149,P,SAW,20,0,0,19.3,18265,0.015384147
SAW-41-P,41,35.680755,-118.473593,905.995361,P,SAW,24,0.5,0.25,18.05,18262,0.015671782
SAW-43-P,43,35.680877,-118.473575,904.738708,P,SAW,NA,0,0.5,17.3,18274,0.015476274
SAW-46-P,46,35.680548,-118.473783,912.504395,P,SAW,33,0,0,15.4,18275,0.015423275
SAW-47-P,47,35.680474,-118.4739,914.531494,P,SAW,26,0,0.5,24.05,18263,0.017576554
SAW-48-P,48,35.680458,-118.473913,917.128479,P,SAW,35,0,0.5,22.607,18277,0.015572953
SAW-49-P,49,35.680467,-118.473923,917.652466,P,SAW,NA,0,0.5,26.844,18275,0.016359004
SAW-5-P,5,35.681037,-118.473323,889.700989,P,SAW,19.5,0,3.5,12.847,18274,0.016492479
SAW-51-P,51,35.680506,-118.47393,917.572327,P,SAW,23,0,0,15.4,18265,0.01641413
SAW-52-P,52,35.680486,-118.473914,916.537231,P,SAW,25,0,0,20.8,18259,0.015412336
SAW-53-P,53,35.680478,-118.473903,917.50177,P,SAW,NA,0,0.25,14.85,18267,0.016381677
SAW-54-P,54,35.680412,-118.473795,910.606934,P,SAW,NA,0,0.75,15.5,18281,0.015663484
SAW-55-P,55,35.680399,-118.473751,910.238464,P,SAW,23,0.5,0.25,18.7,18260,0.015594373
SAW-56-P,56,35.680345,-118.473685,902.708801,P,SAW,NA,0.5,0.5,19.6,18264,0.015216478
SAW-58-P,58,35.680341,-118.473625,901.237854,P,SAW,20,1,0,14.25,18272,0.01463071
SAW-59-P,59,35.680345,-118.473658,901.124512,P,SAW,26,1,0.25,23.491,18270,0.015269826
SAW-6-P,6,35.681033,-118.473341,888.971069,P,SAW,27,0,0.25,13.9935,18263,0.016450473
SAW-60-P,60,35.680345,-118.473592,899.041504,P,SAW,27,1,0,21.45,18260,0.015676981
SAW-61-P,61,35.680318,-118.473672,901.064392,P,SAW,19,1,0,17.87775,18262,0.015981269
SAW-63-P,63,35.6802,-118.473779,901.975769,P,SAW,34,0,0,17.5165,18283,0.016386855
SAW-64-P,64,35.680211,-118.473809,902.253418,P,SAW,24,0.5,0.75,15.195,18267,0.015796157
SAW-65-P,65,35.680211,-118.473791,903.30249,P,SAW,29,1.5,0,19.332,18260,0.014238543
SAW-66-P,66,35.6802,-118.473808,903.58252,P,SAW,17,0.5,0.75,17.8635,18256,0.015485888
SAW-67-P,67,35.680188,-118.473737,900.388062,P,SAW,23,1,0,25.238,18261,0.013932261
