ril,location,mean_visits,petal_color,date_first_flw,node_first_flw,petal_area_mm,petal_perim_mm,asd_mm,protandry,stem_dia_mm,lwc,growth_rate
B19,GC,0,white,102.8,21,NA,NA,0.7,2,1.584,0.8305,1.068
B19,SR,NA,white,102.8,21,NA,NA,0.7,2,1.584,0.8305,1.068
A2,GC,0,pink,95.6,24.2,49.8292,46.549,0.4,2,2.184,0.8298,1.488
A2,SR,0.75,pink,95.6,24.2,49.8292,46.549,0.4,2,2.184,0.8298,1.488
A104,GC,0,white,95,15,57.0488,46.8458,1,1.2,1.826,0.8236,0.816
A104,SR,1.75,white,95,15,57.0488,46.8458,1,1.2,1.826,0.8236,0.816
A128,GC,1.1667,pink,97.8,19.8,64.285,53.0822,1.1,1.4,2.082,0.8565,1.056
A128,SR,1.3,pink,97.8,19.8,64.285,53.0822,1.1,1.4,2.082,0.8565,1.056
A69,GC,0,white,95.6,19.4,32.3918,34.2018,1.4,0,2.128,0.8459,1.112
A69,SR,0,white,95.6,19.4,32.3918,34.2018,1.4,0,2.128,0.8459,1.112
A50,GC,0,white,98.4,17.6,95.1743,55.7282,0.3,2.2,1.948,0.8347,1.412
A50,SR,0,white,98.4,17.6,95.1743,55.7282,0.3,2.2,1.948,0.8347,1.412
A44,GC,0,pink,94.8,17,53.3474,51.5222,1,2.6,2.284,0.8401,1.36
A44,SR,3.6667,pink,94.8,17,53.3474,51.5222,1,2.6,2.284,0.8401,1.36
B33,GC,0.8333,pink,98.4,22.4,58.0038,49.917,0.4,1.8,1.964,0.8717,1.18
B33,SR,0.5833,pink,98.4,22.4,58.0038,49.917,0.4,1.8,1.964,0.8717,1.18
A34,GC,0,pink,98.6,25,61.737,47.3344,0.5,1.6,2.116,0.813,1.416
A34,SR,0.6,pink,98.6,25,61.737,47.3344,0.5,1.6,2.116,0.813,1.416
B40,GC,0,white,93.4,14,67.7442,45.0954,0.4,1,1.9799,0.8175,0.704
B40,SR,0,white,93.4,14,67.7442,45.0954,0.4,1,1.9799,0.8175,0.704
A114,GC,0,pink,100.4,27.4,48.3155,47.1145,2.2,1.2,2.018,0.8295,1.984
A114,SR,1.3333,pink,100.4,27.4,48.3155,47.1145,2.2,1.2,2.018,0.8295,1.984
A35,GC,0,pink,102,23.4,63.2828,50.2751,0.6,1.8,2.278,0.8273,1.404
A35,SR,5.4167,pink,102,23.4,63.2828,50.2751,0.6,1.8,2.278,0.8273,1.404
B49,GC,0,white,97.8,19.4,61.1306,48.8676,0.2,0.2,2.136,0.8236,0.956
B49,SR,0,white,97.8,19.4,61.1306,48.8676,0.2,0.2,2.136,0.8236,0.956
A47,GC,0,pink,95.6,22.2,65.1773,47.4877,2,2.8,2.056,0.8375,1.54
A47,SR,0.8333,pink,95.6,22.2,65.1773,47.4877,2,2.8,2.056,0.8375,1.54
A13,GC,0,pink,94.2,21.4,44.5322,44.1446,1.6,2.4,2.076,0.831,1.608
A13,SR,NA,pink,94.2,21.4,44.5322,44.1446,1.6,2.4,2.076,0.831,1.608
B54,GC,0,white,92.6,14,86.611,55.7504,0.4,1.8,1.87,0.8534,0.5
B54,SR,0.5833,white,92.6,14,86.611,55.7504,0.4,1.8,1.87,0.8534,0.5
A94,GC,0.1111,pink,103,20.2,NA,NA,1,0.6,2.026,0.7983,0.524
A94,SR,4.25,pink,103,20.2,NA,NA,1,0.6,2.026,0.7983,0.524
B112,GC,0,white,94.2,17.6,52.1308,41.2216,0.4,1.8,1.924,0.835,0.884
B112,SR,0.5,white,94.2,17.6,52.1308,41.2216,0.4,1.8,1.924,0.835,0.884
B115,GC,0,pink,92.8,18.8,57.9146,40.6976,0.8,1.6,2.332,0.8424,1.112
B115,SR,0.75,pink,92.8,18.8,57.9146,40.6976,0.8,1.6,2.332,0.8424,1.112
B105,GC,0.3333,pink,97.4,20.8,45.8112,46.1224,1,1,1.606,0.8694,0.852
B105,SR,2.0769,pink,97.4,20.8,45.8112,46.1224,1,1,1.606,0.8694,0.852
B8,GC,0.0833,pink,97.2,29.8,47.2102,37.6196,1.4,0.8,1.814,0.8477,1.488
B8,SR,0.3333,pink,97.2,29.8,47.2102,37.6196,1.4,0.8,1.814,0.8477,1.488
A107,GC,0,pink,102.4,25.6,67.4634,52.4383,0.7,2,1.954,0.8316,1.764
A107,SR,1.5,pink,102.4,25.6,67.4634,52.4383,0.7,2,1.954,0.8316,1.764
A79,GC,0,white,95,14.4,76.7088,51.827,0.2,2.2,1.902,0.8219,1.06
A79,SR,NA,white,95,14.4,76.7088,51.827,0.2,2.2,1.902,0.8219,1.06
B118,GC,0,white,93.2,14.6,76.558,58.3538,0.7,3.2,1.966,0.857,0.332
B118,SR,0.5833,white,93.2,14.6,76.558,58.3538,0.7,3.2,1.966,0.857,0.332
A118,GC,0,pink,96.2,24.4,51.8492,43.4176,0.4,1,2.164,0.8323,1.64
A118,SR,0.6,pink,96.2,24.4,51.8492,43.4176,0.4,1,2.164,0.8323,1.64
B124,GC,0.1538,pink,95.6,18,56.5834,53.1624,0.2,2.8,2.038,0.8377,1.08
B124,SR,2,pink,95.6,18,56.5834,53.1624,0.2,2.8,2.038,0.8377,1.08
B128,GC,0.125,pink,93,19.4,41.4008,41.5076,0.1,0.4,1.738,0.826,0.732
