probCluster1,probCluster2,probCluster3,probCluster4,cluster,site,id,replicate,subspecies,date_flowered_std,avg_protandry,avg_herkogamy,mean_petal_area_sq_cm
1.6610379785114104e-17,1.0842680539107763e-19,7.651301378184762e-4,0.9992348698621814,4,GC,696,C,U,7,0,0,0.387
5.5683168649803386e-18,2.337182395213942e-19,0.015534217059171778,0.9844657829408283,4,GC,697,A,U,7,0,0.25,0.221
3.359745955131739e-17,2.2755990332414585e-18,0.013694719824552263,0.9863052801754478,4,GC,697,B,U,8,1,0,0.1885
8.556416870167205e-19,2.446228433638227e-20,8.517384619136475e-4,0.9991482615380864,4,GC,697,C,U,8,0,0,0.257
8.573980435813488e-15,8.647936169226447e-16,0.04819049736308687,0.9518095026369037,4,GC,698,A,U,15,1.5,0,0.276
0.07411979489555473,0.9258802051044454,1.4462296945952425e-25,0,2,GC,698,B,U,29,5,6.5,1.7185
7.486544694516478e-12,5.564464279741281e-13,0.9999088302493823,9.116974257467523e-5,3,GC,698,C,U,14,3,0,0.30866666666666664
1.569134085719569e-4,3.13421584970456e-5,0.999811744432931,2.38231562744034e-36,3,GC,699,A,U,25,5,0.25,0.8385
1.1960552478225605e-15,1.608751206361989e-17,0.006676174510392472,0.9933238254896063,4,GC,699,B,U,6,1.5,0,0.3225
4.918822252447376e-12,1.5950152330823664e-13,0.9999999999712537,2.3668051426098954e-11,3,GC,699,C,U,14,1.75,0.75,0.378
3.6984080994775693e-17,2.7775565679511e-18,0.018697415128306374,0.9813025848716936,4,GC,700,A,U,8,1,0,0.18
1.928387360754063e-15,2.324168348377197e-17,0.004388614434906037,0.995611385565092,4,GC,700,B,U,11,1,0,0.383
3.287623312276082e-16,1.677516219898099e-18,0.003891462732908418,0.9961085372670913,4,GC,700,C,U,9,0,0,0.4335
2.3995573084455894e-17,1.2542448931189763e-19,8.437243357587741e-4,0.9991562756642411,4,GC,701,B,U,6,0,0,0.403
2.511455796961884e-7,1.290456883540799e-10,0.9999997487253746,2.9630836694964158e-47,3,GC,702,A,U,9,2,1.25,0.8115
2.5761722038599253e-6,4.6415625885646397e-10,0.9999974233636398,7.141500385015912e-34,3,GC,702,B,U,10,1.5,0.5,1.0265
3.479034407905371e-17,9.131598580229027e-19,0.0010785625736368036,0.9989214374263632,4,GC,702,C,U,12,0.5,0,0.3225
1.2377021465584089e-17,8.250590409636358e-19,0.001689734830797342,0.9983102651692027,4,GC,703,A,U,14,0.25,0,0.27849999999999997
2.4749386557694257e-17,1.1191416777118057e-18,0.0014079313095123544,0.9985920686904877,4,GC,703,B,U,13,0.5,0,0.2925
6.975016741833945e-18,1.374109445355835e-19,6.6022506571562e-4,0.9993397749342845,4,GC,703,C,U,10,0.25,0,0.3145
6.4265184700799086e-18,1.41000364860829e-19,9.389037848421928e-4,0.9990610962151579,4,GC,704,A,U,11,0,0,0.3195
1.6363075373444146e-11,1.9443367865780777e-12,0.9999999999816926,1.6722850432117067e-18,3,GC,704,B,U,9,5,0,0.247
1.3703540697395177e-18,3.776443820296233e-20,8.63376718829637e-4,0.9991366232811704,4,GC,704,C,U,9,0,0,0.27049999999999996
0.9758789353034754,0.024121064696524613,8.79538278967484e-17,0,1,GC,705,B,U,14,7.25,5.25,1.669
0.9920640482400728,0.007932493727241877,3.4580326854000508e-6,0,1,GC,705,C,U,13,8,3,1.4335
0.979761517536287,0.02023848246371296,5.057919003687393e-19,0,1,GC,707,A,U,10,6.75,5.5,1.85
0.007409151428322515,0.9925908485716776,1.6244787434690956e-36,0,2,GC,707,B,U,13,7.75,7.25,2.5575
0.0031806757700430788,0.996819324229957,3.0478691688261453e-40,0,2,GC,707,C,U,21,6.5,7.75,2.4605
0.8319928758299916,0.1680071241700085,1.2986271661034867e-20,0,1,GC,708,A,U,8,3.75,5.5,2.3289999999999997
