"","chrom","ind","taxa","site","subsp","cutoff0.9","weighted","ind2","Tag","lat","lon","ele","distance2hetero","id","replicate","uniqueID","fl_1_open","fl_1_anthers","fl_1_stigma","fl_1_protandry","fl_1_herkogamy","fl_2_open","fl_2_anthers","fl_2_stigma","fl_2_protandry","fl_2_herkogamy","node","date_flowered","avg_protandry","avg_herkogamy","notes","date_flowered_std","mean_petal_area_sq_cm","number_petals_measured","petal_color"
"270","whole_genome","SM-1081p","SM_p","SM","P",0.0177309565633983,0.0458178690626808,"1081","SM-1081-P",35.605568,-118.413864,1051.307861,205.020414420641,1081,"N","SM-1081","3/4/20","3/4/20","3/4/20",0,0,"3/4/20","3/4/20","3/4/20",0,0.5,21,"3/4/20",0,0.25,NA,2,0.368,2,"pink"
"271","whole_genome","SM-1082p","SM_p","SM","P",0.0169546404497689,0.0458616638091155,"1082","SM-1082-P",35.605474,-118.413931,1050.686523,192.963536250382,1082,"N","SM-1082","3/14/20","3/14/20","3/15/20",1,0,"3/15/20","3/15/20","3/18/20",3,0,16,"3/14/20",2,0,NA,12,0.454,2,"pink"
"272","whole_genome","SM-1083p","SM_p","SM","P",0.017709839908234,0.0495137051787712,"1083","SM-1083-P",35.605341,-118.413836,1052.538208,186.196724979296,1083,"N","SM-1083","3/3/20","3/3/20","3/3/20",0,0,"3/4/20","3/4/20","3/4/20",0,0,23,"3/3/20",0,0,NA,1,0.235,2,"pink"
"273","whole_genome","SM-1084p","SM_p","SM","P",0.023598037252153,0.0580326239938034,"1084","SM-1084-P",35.604938,-118.413896,1062.650024,149.850379757953,1084,"N","SM-1084","3/5/20","3/5/20","3/5/20",0,0,"3/7/20","3/7/20","3/7/20",0,0,17,"3/5/20",0,0,NA,3,0.241,2,"pink"
"274","whole_genome","SM-1087p","SM_p","SM","P",0.0202722640804202,0.04783951251606,"1087","SM-1087-P",35.604724,-118.414353,1063.890991,103.671128414158,1087,"N","SM-1087","3/3/20","3/3/20","3/3/20",0,0,"3/4/20","3/4/20","3/4/20",0,0,13,"3/3/20",0,0,NA,1,NA,NA,NA
"275","whole_genome","SM-1088p","SM_p","SM","P",0.0237977519020039,0.0590978985980966,"1088","SM-1088-P",35.604681,-118.41438,1068.023804,98.5137416471669,1088,"N","SM-1088","3/4/20","3/4/20","3/4/20",0,0,"3/5/20","3/5/20","3/5/20",0,0,15,"3/4/20",0,0,NA,2,0.3195,2,"pink"
"276","whole_genome","SM-1089p","SM_p","SM","P",0.0224872779934429,0.0567635087609689,"1089","SM-1089-P",35.604609,-118.414649,1070.618774,77.0077612750304,1089,"N","SM-1089","3/22/20","3/22/20","3/24/20",2,1,"3/22/20","3/22/20","3/24/20",2,1,19.5,"3/22/20",2,1,NA,20,0.2915,2,"pink"
"277","whole_genome","SM-1090p","SM_p","SM","P",0.00260505049578514,0.0139772655624257,"1090","SM-1090-P",35.604605,-118.414657,1068.537964,76.2372125788184,1090,"N","SM-1090","3/7/20","3/7/20","3/7/20",0,0,"3/7/20","3/7/20","3/7/20",0,0.5,20,"3/7/20",0,0.25,NA,5,0.343,2,"white"
"278","whole_genome","SM-1091p","SM_p","SM","P",0.0100675012981019,0.034558121748464,"1091","SM-1091-P",35.604494,-118.414733,1069.449951,62.2386916372713,1091,"N","SM-1091","3/13/20","3/13/20","3/14/20",1,0,"3/14/20","3/14/20","3/15/20",1,0,16,"3/13/20",1,0,NA,11,0.6075,2,"white"
"279","whole_genome","SM-1092p","SM_p","SM","P",0.0173386508438306,0.0443023369342698,"1092","SM-1092-P",35.604501,-118.414711,1069.315063,64.0148448685966,1092,"N","SM-1092","3/13/20","3/13/20","3/14/20",1,NA,"3/14/20","3/14/20","3/15/20",1,1,21,"3/13/20",1,1,NA,11,0.342,2,"pink"
