ril,location,prop_hybrid,mean_visits,growth_rate,petal_area_mm,asd_mm,protandry,petal_color,date_first_flw,node_first_flw,petal_perim_mm,stem_dia_mm,lwc,crossDir,num_hybrid,offspring_genotyped
A90,GC,0,0.0625,1.26,80.54969929,1.073041195,2.304378507,white,96.41477064,21.04203541,52.58270842,2.102,0.8176,A,0,8
A91,GC,NA,NA,1.428,46.4522,2,1,NA,97.2,22,43.3496,1.87,0.8226,NA,NA,NA
A92,GC,0.25,0,1.328,65.1690508,0.617505323,2.133857965,pink,97.10007734,18.57859522,50.54818025,2.04,0.8558,A,2,8
A94,GC,0.25,0.1111,0.524,NA,0.959157227,0.769693623,pink,102.0685509,20.16223534,NA,2.026,0.7983,A,2,8
A96,GC,0,0,1.288,77.07430685,1.4146931,2.815940135,white,98.29936406,18.05071518,56.98813975,1.974,0.8203,A,0,8
A97,GC,0,0,1.124,43.12860804,0.44667937,1.451775794,NA,95.55813727,19.81031532,45.72403769,2.12,0.8547,A,0,8
A98,GC,0,0,1.076,72.92097689,0.845273259,1.963337422,white,95.3868106,18.93051525,52.34860566,1.932,0.8238,A,0,8
A99,GC,0,0,1.284,64.84439063,1.243867148,1.963337422,pink,96.24344397,23.32951559,46.33522598,2.078,0.8418,A,0,5
B100,GC,NA,NA,0.924,40.4782,0.7,0.6,NA,99.6,21,39.6634,1.966,0.8755,NA,NA,NA
B101,GC,NA,NA,1.468,87.5525,1.3,1,NA,100,19.8,55.5029,1.896,0.8311,NA,NA,NA
B102,GC,0,0,0.56,62.77504258,0.503621355,1.792816879,white,94.18752388,16.29111504,56.61719943,2.004,0.8545,B,0,8
B103,GC,NA,NA,2.168,47.166,0.6,0.6,NA,99.2,27.8,41.0446,1.94,0.8421,NA,NA,NA
B104,GC,NA,NA,0.596,72.08,0.4,2,pink,93,16.8,57.0018,1.76,0.8522,NA,NA,NA
B105,GC,0,0.3333,0.852,46.58627697,0.959157227,1.110734709,pink,97.27140401,20.69011539,46.36205776,1.606,0.8694,B,0,8
B107,GC,NA,NA,0.132,68.5418,0,1,NA,90.2,14,47.0948,2.056,0.8143,NA,NA,NA
B108,GC,0.875,0.5833,1.356,81.33670328,1.073041195,2.815940135,pink,96.75742399,21.04203541,55.32285831,2.004,0.8327,B,7,8
B111,GC,NA,NA,1.436,84.484,2.7,3.2,NA,98.2,19.6,59.5595,2.448,0.856,NA,NA,NA
B112,GC,0.125,0,0.884,52.60055767,0.617505323,1.792816879,white,94.53017723,17.87475516,41.94940074,1.924,0.835,B,1,8
B113,GC,0,0,0.376,62.74744366,1.69940302,0.940214166,white,93.50221719,15.41131497,53.76618793,1.822,0.8681,B,0,5
B115,GC,0.25,0,1.112,58.1049245,0.845273259,1.622296337,pink,93.33089052,18.93051525,41.47759364,2.332,0.8424,B,2,8
B116,GC,NA,NA,0.98,76.3944,0.6,2.2,NA,93.8,17.4,51.9008,1.96,0.8464,NA,NA,NA
B117,GC,0,0,0.364,60.97768666,0.731389291,0.599173081,white,93.67354386,14.5315149,50.37980142,1.758,0.8743,B,0,8
B118,GC,0,0,0.332,75.84760453,0.788331275,2.986460678,white,93.67354386,15.23535495,57.37515215,1.966,0.857,B,0,6
B119,GC,0.5,0,1.02,49.74663891,0.788331275,1.963337422,pink,95.55813727,20.16223534,49.14265835,2.098,0.8771,B,4,8
B12,GC,0,0,0.956,61.61607825,0.674447307,0.940214166,white,95.55813727,20.16223534,49.6038408,2.142,0.8416,B,0,8
B120,GC,0.625,0.125,0.708,103.1758656,1.69940302,3.15698122,pink,96.0721173,15.93919501,63.14686575,2.116,0.864,B,5,8
B121,GC,1,0.0833,1.784,64.45163834,1.243867148,2.133857965,pink,98.12803738,25.44103576,45.43771746,2.068,0.8333,B,8,8
B123,GC,NA,NA,1.408,46.9528,1.1,1.4,NA,96.2,21.8,44.1928,2.018,0.8506,NA,NA,NA
B124,GC,0,0.1538,1.08,56.83803887,0.503621355,2.645419592,pink,95.72946395,18.22667519,52.70084028,2.038,0.8377,B,0,8
B125,GC,NA,NA,0.78,85.327,3.8,3,NA,95.4,16.2,54.831,2.046,0.821,NA,NA,NA
B126,GC,NA,NA,0.728,97.3804,3.3,4,NA,95.2,15.2,65.0098,1.958,0.8341,NA,NA,NA
B128,GC,0.125,0.125,0.732,42.38895696,0.44667937,0.599173081,pink,93.50221719,19.45839529,42.20691378,1.738,0.826,B,1,8
B129,GC,NA,NA,0.488,83.5748,1.3,3.2,pink,93,15.6,67.6576,2.082,0.8154,NA,NA,NA
B13,GC,NA,NA,1.124,64.3894,0.5,1.8,NA,97,19.8,48.0648,1.782,0.853,NA,NA,NA
B130,GC,NA,NA,0.352,69.7938,0.6,1,white,92.2,14,46.6907,2.22,0.8041,NA,NA,NA
B131,GC,NA,NA,0.141,65.8434,0.2,1.8,white,87.4,10.6,47.4442,1.918,0.847,NA,NA,NA
B132,GC,0.75,0.6667,0.576,97.6783509,1.357751116,2.815940135,pink,92.1316038,14.17959487,55.89544261,1.982,0.8031,B,6,8
B135,GC,0.75,1.25,0.668,57.62432261,0.845273259,1.792816879,pink,93.67354386,18.75455523,47.07697158,1.93,0.8066,B,6,8
B136,GC,0.25,0,0.6,61.71886043,2.154938893,2.815940135,pink,94.53017723,15.05939494,55.7416551,2.036,0.8254,B,2,8
B137,GC,0,NA,1,77.74924734,1.073041195,1.622296337,white,97.44273069,18.05071518,50.91122826,1.952,0.829,B,0,8
B138,GC,0.375,0,0.14,84.67754615,1.608295846,2.133857965,white,91.27497043,17.17091511,55.81710822,2.27,0.7739,B,3,8
B139,GC,0.625,0.5556,1.4,86.08968245,1.756345004,2.133857965,pink,98.56416847,17.52283513,56.86780532,1.892,0.8344,B,5,8
B14,GC,NA,NA,0.528,50.0144,0.2,1.4,white,103,20.2,41.4133,1.606,0.8637,NA,NA,NA
B140,GC,NA,NA,1.412,46.5834,0.1,0.4,NA,95.2,19.6,46.6418,2.3593,0.8513,NA,NA,NA
B17,GC,NA,NA,1.432,62.3888,0.4,1.8,NA,98.6,20.8,48.5957,2.066,0.8672,NA,NA,NA
B18,GC,0.125,0,0.856,57.25982651,1.471635084,1.622296337,pink,96.75742399,19.81031532,51.69707966,2.042,0.8614,B,1,8
B19,GC,0,0,1.068,NA,0.788331275,1.963337422,pink,101.8972242,20.8660754,NA,1.584,0.8305,B,0,8
B2,GC,NA,NA,0.56,38.487,0.4,0.4,NA,95.2,16,40.6837,1.828,0.834,NA,NA,NA
B22,GC,NA,NA,1.36,71.2251,1.5,1.8,NA,100.2,22.6,47.4834,1.688,0.8492,NA,NA,NA
B23,GC,NA,0,0.68,68.3638,2.1,2.2,white,95.8,18.8,54.5585,2.06,0.8369,NA,NA,NA
B26,GC,NA,NA,1.576,60.114,2,2.2,NA,100.6,23,47.6018,2.1037,0.8442,NA,NA,NA
B27,GC,NA,0,1.116,103.9408,0.1,3,white,97,17.4,62.1872,1.992,0.8572,NA,NA,NA
B3,GC,0,0,1.42,43.29991168,0.617505323,2.133857965,pink,97.10007734,25.08911573,40.72144171,1.688,0.8447,B,0,8
B30,GC,0,0,0.96,67.77292164,1.300809132,2.986460678,white,95.04415725,17.87475516,51.60830069,2.12,0.8584,B,0,8
B31,GC,0.125,1,1.228,62.40921413,1.016099211,1.622296337,pink,95.55813727,19.81031532,46.36583942,1.966,0.8634,B,1,8
B32,GC,NA,NA,1.028,45.7878,0.6,1.2,NA,97.4,17.4,48.5297,1.62,0.8592,NA,NA,NA
B33,GC,0.375,0.8333,1.18,58.18981498,0.617505323,1.792816879,pink,98.12803738,22.0977955,49.77869755,1.964,0.8717,B,3,8
B34,GC,0,0,0.976,51.1176391,0.617505323,1.963337422,white,95.21548393,19.81031532,47.46234075,1.976,0.8798,B,0,8
B36,GC,NA,NA,0.968,66.6855,0.5,2.8,NA,99,21.2,52.3877,2.028,0.85,NA,NA,NA
B37,GC,0.125,0.5,1.72,72.72422441,0.959157227,2.567571778,NA,97.41815766,18.93051525,60.00023683,2.33,0.8372,B,1,8
B4,GC,NA,NA,1.236,55.7498,1.2,1.4,NA,96.8,22.4,42.6478,1.864,0.8437,NA,NA,NA
B40,GC,0,0,0.704,67.4596263,0.617505323,1.110734709,white,93.84487054,14.70747491,45.43735184,1.9799,0.8175,B,0,8
B42,GC,NA,0,1.728,34.1476,0.3,0.8,white,96.4,22.6,39.835,2.076,0.8564,NA,NA,NA
B45,GC,0,0,0.484,66.59796896,0.788331275,1.792816879,white,92.47425715,15.23535495,46.78092163,1.916,0.8275,B,0,7
B46,GC,0,0,1.484,53.64170316,1.016099211,0.940214166,NA,97.78538403,21.21799543,41.88313165,2.218,0.8386,B,0,8
B47,GC,NA,NA,1.024,57.6288,0.8,1,pink,92.6,17.2,43.0562,2.002,0.8233,NA,NA,NA
B48,GC,NA,0,1.464,56.2052,1.2,1.6,white,99,19.6,46.1539,1.928,0.8417,NA,NA,NA
B49,GC,0,0,0.956,61.16554966,0.503621355,0.428652538,white,97.61405736,19.45839529,48.83382278,2.136,0.8236,B,0,8
B52,GC,0.125,0,0.124,75.54801348,0.44667937,2.304378507,pink,90.76099041,13.65171483,49.30346894,1.812,0.8505,B,1,8
B53,GC,NA,NA,1.34,54.2653,0.8,0.4,NA,99.4,18,44.5732,1.744,0.8593,NA,NA,NA
B54,GC,0.142857143,0,0.5,85.41491318,0.617505323,1.792816879,white,93.15956384,14.70747491,55.03106317,1.87,0.8534,B,1,7
B55,GC,0,0,0.36,84.35340159,0.902215243,2.133857965,white,91.4462971,12.77191476,55.11479993,2.296,0.8672,B,0,8
