site,id,replicate,uniqueID,subspecies,node,date_flowered,avg_protandry,avg_herkogamy,avg_petal_area,lat,lon,ele
GC,692,C,GC-692-C,U,10,11/13,0,0,0.383,35.73054297,-118.42958900000001,830.073792
GC,693,A,GC-693-A,U,11,11/14,0,0.25,0.346,35.73051497,-118.42961,828.759216
GC,693,B,GC-693-B,U,0,11/9,0,0,0.362,35.73051497,-118.42961,828.759216
GC,694,A,GC-694-A,U,12,11/20,0,0,0.29300000000000004,35.73051497,-118.429613,828.837585
GC,694,B,GC-694-B,U,14,11/19,0,0,0.2815,35.73051497,-118.429613,828.837585
GC,694,C,GC-694-C,U,20,11/18,0,0,0.3045,35.73051497,-118.429613,828.837585
GC,695,A,GC-695-A,U,12,11/21,0.75,2.25,NA,35.73052101,-118.429609,829.747498
GC,695,B,GC-695-B,U,14,11/21,0.5,1.5,0.392,35.73052101,-118.429609,829.747498
GC,695,C,GC-695-C,U,19,11/24,0.5,0.25,0.326,35.73052101,-118.429609,829.747498
GC,696,A,GC-696-A,U,13,11/18,1.5,0.25,0.361,35.73052403,-118.42959,830.13385
GC,696,B,GC-696-B,U,13,11/18,11,2,0.28600000000000003,35.73052403,-118.42959,830.13385
GC,696,C,GC-696-C,U,13,11/15,0,0,0.387,35.73052403,-118.42959,830.13385
GC,697,A,GC-697-A,U,15,11/15,0,0.25,0.221,35.73056401,-118.429542,828.208801
GC,697,B,GC-697-B,U,17,11/16,1,22806,0.1885,35.73056401,-118.429542,828.208801
GC,697,C,GC-697-C,U,14,11/16,0,0,0.257,35.73056401,-118.429542,828.208801
GC,698,A,GC-698-A,U,17,11/23,1.5,0,NA,35.73055998,-118.429578,830.448608
GC,698,B,GC-698-B,U,14,12/7,5,6.5,1.7185,35.73055998,-118.429578,830.448608
GC,698,C,GC-698-C,U,17,11/22,3,0,NA,35.73055998,-118.429578,830.448608
GC,699,A,GC-699-A,U,20,12/3,5,0.25,0.8385,35.73055102,-118.429537,828.155457
GC,699,B,GC-699-B,U,10,11/14,1.5,0,0.3225,35.73055102,-118.429537,828.155457
GC,699,C,GC-699-C,U,18,11/22,1.75,0.75,NA,35.73055102,-118.429537,828.155457
GC,700,A,GC-700-A,U,12,11/16,1,0,0.18,35.73057096,-118.429547,828.804199
GC,700,B,GC-700-B,U,15,11/19,1,0,0.383,35.73057096,-118.429547,828.804199
GC,700,C,GC-700-C,U,12,11/17,0,0,0.4335,35.73057096,-118.429547,828.804199
GC,701,A,GC-701-A,U,19,12/4,NA,NA,NA,35.73058597,-118.429552,828.569458
GC,701,B,GC-701-B,U,14,11/14,0,0,0.403,35.73058597,-118.429552,828.569458
GC,702,A,GC-702-A,U,12,11/17,2,1.25,0.8115,35.73061304,-118.429539,829.063904
GC,702,B,GC-702-B,U,15,11/18,1.5,0.5,1.0265,35.73061304,-118.429539,829.063904
GC,702,C,GC-702-C,U,15,11/20,0.5,0,0.3225,35.73061304,-118.429539,829.063904
GC,703,A,GC-703-A,U,17,11/22,0.25,0,0.27849999999999997,35.73060097,-118.429543,829.710266
GC,703,B,GC-703-B,U,16,11/21,0.5,0,0.2925,35.73060097,-118.429543,829.710266
GC,704,A,GC-704-A,U,17,11/19,0,0,0.3195,35.73055898,-118.429722,834.312805
GC,704,B,GC-704-B,U,17,11/17,5,0,0.247,35.73055898,-118.429722,834.312805
GC,704,C,GC-704-C,U,18,11/17,0,0,0.27049999999999996,35.73055898,-118.429722,834.312805
GC,705,B,GC-705-B,U,11,11/22,7.25,5.25,1.669,35.73067901,-118.429412,790.436523
GC,705,C,GC-705-C,U,10,11/21,8,3,1.4335,35.73067901,-118.429412,790.436523
GC,707,A,GC-707-A,U,7,11/18,6.75,5.5,1.85,35.73068404,-118.429426,796.54425
GC,707,B,GC-707-B,U,10,11/21,7.75,7.25,2.5575,35.73068404,-118.429426,796.54425
GC,707,C,GC-707-C,U,15,11/29,6.5,7.75,2.4605,35.73068404,-118.429426,796.54425
GC,708,A,GC-708-A,U,7,11/16,3.75,5.5,2.3289999999999997,35.73040098,-118.430067,796.891846
GC,708,B,GC-708-B,U,NA,11/30,7.75,7.5,2.725,35.73040098,-118.430067,796.891846
GC,708,C,GC-708-C,U,12,11/28,7,8.5,2.0225,35.73040098,-118.430067,796.891846
GC,709,A,GC-709-A,U,14,11/16,1,0,0.293,35.73042403,-118.42989,816.298462
GC,709,B,GC-709-B,U,8,11/13,0,0,0.3625,35.73042403,-118.42989,816.298462
GC,709,C,GC-709-C,U,10,11/13,0,0,0.3015,35.73042403,-118.42989,816.298462
